match_id,season_x,round,opponent,home_away,goals_for,goals_against,possession_pct,shots_x,shots_on_target,xG_x,season_y,player,minutes_played,goals,assists,shots_y,xG_y
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Lewandowski,2720,14,4,29,7.05
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Pedri,2209,2,6,21,16.7
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Gavi,1604,5,13,18,9.0
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,De Jong,2690,19,9,95,15.71
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Raphinha,1392,9,13,68,17.94
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Ferran Torres,927,16,1,90,5.74
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Araujo,1036,24,6,82,3.22
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Kounde,2851,25,9,38,3.85
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Balde,1604,10,5,27,10.83
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2019/2020,Ter Stegen,2889,3,8,47,1.81
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Lewandowski,2500,24,5,85,4.53
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Pedri,1141,20,10,66,5.7
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Gavi,1530,7,1,21,12.85
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,De Jong,1254,9,12,26,8.67
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Raphinha,1501,25,13,73,7.4
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Ferran Torres,2645,10,0,60,2.26
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Araujo,2194,25,12,30,16.82
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Kounde,2858,3,0,68,6.29
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Balde,2050,21,1,64,13.44
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2020/2021,Ter Stegen,1557,21,4,65,4.69
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Lewandowski,1550,19,2,108,16.91
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Pedri,1164,10,1,82,15.53
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Gavi,2324,8,8,49,14.7
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,De Jong,2040,28,10,113,8.98
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Raphinha,1862,2,2,110,0.55
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Ferran Torres,2258,29,5,107,2.51
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Araujo,2436,11,10,58,3.17
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Kounde,1129,24,6,56,2.19
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Balde,1015,18,7,104,16.23
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2021/2022,Ter Stegen,2550,4,5,89,17.06
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Lewandowski,1912,11,14,68,19.76
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Pedri,2361,14,9,25,18.54
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Gavi,2617,20,5,16,1.16
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,De Jong,1428,6,8,57,2.75
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Raphinha,1626,22,12,91,15.03
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Ferran Torres,1734,2,1,68,16.66
1,2019/2020,1,Team_1,Home,3,0,64,18,7,2.29,2022/2023,Araujo,2096,13,14,33,4.99
